City,Country,Date,Attendance
Omaha,United States,2013-03-13,"27,877"
Omaha,United States,2013-03-14,"27,877"
St. Louis,United States,2013-03-18,"28,582"
St. Louis,United States,2013-03-19,"28,582"
Charlotte,United States,2013-03-22,"14,686"
Columbia,United States,2013-03-23,"12,490"
Newark,United States,2013-03-27,"38,065"
Newark,United States,2013-03-28,"38,065"
Newark,United States,2013-03-29,"38,065"
Miami,United States,2013-04-10,"12,808"
Orlando,United States,2013-04-11,"25,617"
Orlando,United States,2013-04-12,"25,617"
Atlanta,United States,2013-04-18,"25,471"
Atlanta,United States,2013-04-19,"25,471"
Tampa,United States,2013-04-20,"14,080"
Cleveland,United States,2013-04-25,"15,336"
Indianapolis,United States,2013-04-26,"13,573"
Lexington,United States,2013-04-27,"17,003"
Detroit,United States,2013-05-04,"48,265"
Louisville,United States,2013-05-07,"15,135"
Columbus,United States,2013-05-08,"14,267"
"Washington, D.C.",United States,2013-05-11,"27,619"
"Washington, D.C.",United States,2013-05-12,"27,619"
Houston,United States,2013-05-16,"12,467"
Austin,United States,2013-05-21,"11,916"
San Antonio,United States,2013-05-22,"13,974"
Arlington,United States,2013-05-25,"53,020"
Glendale,United States,2013-05-28,"26,705"
Glendale,United States,2013-05-29,"26,705"
Salt Lake City,United States,2013-06-01,"14,007"
Denver,United States,2013-06-02,"13,489"
Toronto,Canada,2013-06-14,"87,627"
Toronto,Canada,2013-06-15,"87,627"
Winnipeg,Canada,2013-06-22,"33,061"
Edmonton,Canada,2013-06-25,"25,663"
Edmonton,Canada,2013-06-26,"25,663"
Vancouver,Canada,2013-06-29,"41,142"
Pittsburgh,United States,2013-07-06,"56,047"
East Rutherford,United States,2013-07-13,"52,399"
Philadelphia,United States,2013-07-19,"101,277"
Philadelphia,United States,2013-07-20,"101,277"
Foxborough,United States,2013-07-26,"110,712"
Foxborough,United States,2013-07-27,"110,712"
Des Moines,United States,2013-08-01,"13,368"
Kansas City,United States,2013-08-02,"26,412"
Kansas City,United States,2013-08-03,"26,412"
Wichita,United States,2013-08-06,"12,231"
Tulsa,United States,2013-08-07,"10,949"
Chicago,United States,2013-08-10,"50,809"
San Diego,United States,2013-08-15,"10,872"
Los Angeles,United States,2013-08-19,"55,829"
Los Angeles,United States,2013-08-20,"55,829"
Los Angeles,United States,2013-08-23,"55,829"
Los Angeles,United States,2013-08-24,"55,829"
Sacramento,United States,2013-08-27,"12,795"
Portland,United States,2013-08-30,"13,952"
Tacoma,United States,2013-08-31,"20,348"
Fargo,United States,2013-09-06,"21,073"
Saint Paul,United States,2013-09-07,"28,920"
Saint Paul,United States,2013-09-08,"28,920"
Greensboro,United States,2013-09-12,"13,650"
Raleigh,United States,2013-09-13,"13,941"
Charlottesville,United States,2013-09-14,"12,689"
Nashville,United States,2013-09-19,"41,292"
Nashville,United States,2013-09-20,"41,292"
Nashville,United States,2013-09-21,"41,292"
Auckland,New Zealand,2013-11-29,"30,799"
Auckland,New Zealand,2013-11-30,"30,799"
Auckland,New Zealand,2013-12-01,"30,799"
Sydney,Australia,2013-12-04,"40,930"
Brisbane,Australia,2013-12-07,"38,907"
Perth,Australia,2013-12-11,"21,827"
Melbourne,Australia,2013-12-14,"47,257"
London,England,2014-02-01,"74,740"
London,England,2014-02-02,"74,740"
London,England,2014-02-04,"74,740"
Berlin,Germany,2014-02-07,"10,350"
London,England,2014-02-10,
London,England,2014-02-11,
Shanghai,China,2014-05-30,"12,793"
Saitama,Japan,2014-06-01,"20,046"
Jakarta,Indonesia,2014-06-04,"8,130"
Pasay,Philippines,2014-06-06,"9,775"
Singapore,Singapore,2014-06-09,"16,344"
Kuala Lumpur,Malaysia,2014-06-11,"7,525"
Singapore,Singapore,2014-06-12,
Bangkok,Thailand,2014-06-09,
